1, -1.5, 2, -1.3, 3, -1.1, 4, -0.899999999999997, 5, -0.699999999999997, 6, -0.499999999999997, 7, -0.300000000000001, 8, -0.100000000000001
-1, 0.0999999999999983, -2, 0.3, -3, 0.500000000000001, -4, 0.700000000000001, -5, 0.900000000000002, -6, 1.1, -7, 1.3, -8, 1.5
-3, 5.4, 4, 2.00000000000001, 4.50000000000001, 2.09999999999999, -1.3, 2, 7, 0.099999999999997, -9.5, 3.99999999999999, 4.79999999999999, -5.39999999999999, 3.2, 2.9
8.1, 7.99999999999999, -5.6, 9, -2, 3.3, -4.6, 5.8, 1.1, 1.7, 1.19999999999999, -3.4, 5.6, -2.3, 4.3, 3.1

1, -1.5, 2, -1.3, 3, -1.1, 4, -0.9, 5, -0.7, 6, -0.5, 7, -0.3, 8, -0.1
-1, 0.1, -2, 0.3, -3, 0.5, -4, 0.7, -5, 0.9, -6, 1.1, -7, 1.3, -8, 1.5
-3, 5.4, 4, 2.0, 4.5, 2.1, -1.3, 2, 7, 0.1, -9.5, 4, 4.8, -5.4, 3.2, 2.9
8.1, 8, -5.6, 9, -2, 3.3, -4.6, 5.8, 1.1, 1.7, 1.2, -3.4, 5.6, -2.3, 4.3, 3.1

1, -1.5, 2, -1.3, 3, -1.1, 4, -0.9, 5, -0.7, 6, -0.5, 7, -0.3, 8, -0.1
-1, 0.1, -2, 0.3, -3, 0.5, -4, 0.7, -5, 0.9, -6, 1.1, -7, 1.3, -8, 1.5
-3, 5.4, 4, 2.0, 4.5, 2.1, -1.3, 2, 7, 0.1, -9.5, 4, 4.8, -5.4, 3.2, 2.9
8.1, 8, -5.6, 9, -2, 3.3, -4.6, 5.8, 1.1, 1.7, 1.2, -3.4, 5.6, -2.3, 4.3, 3.1
